Id;LotFrontage;LotArea;Street;Utilities;Condition1;YearBuilt;Heating;HeatingQC;CentralAir;1stFlrSF;2ndFlrSF;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;GarageCars;GarageArea;MoSold;YrSold;SaleType;SaleCondition;SalePrice
1;65;8450;Pave;AllPub;Norm;2003;GasA;Ex;Y;856;854;2;1;3;1;Gd;8;2;548;2;2008;WD;Normal;208500
2;80;9600;Pave;AllPub;Feedr;1976;GasA;Ex;Y;1262;0;2;0;3;1;TA;6;2;460;5;2007;WD;Normal;181500
3;68;11250;Pave;AllPub;Norm;2001;GasA;Ex;Y;920;866;2;1;3;1;Gd;6;2;608;9;2008;WD;Normal;223500
4;60;9550;Pave;AllPub;Norm;1915;GasA;Gd;Y;961;756;1;0;3;1;Gd;7;3;642;2;2006;WD;Abnorml;140000
5;84;14260;Pave;AllPub;Norm;2000;GasA;Ex;Y;1145;1053;2;1;4;1;Gd;9;3;836;12;2008;WD;Normal;250000
6;85;14115;Pave;AllPub;Norm;1993;GasA;Ex;Y;796;566;1;1;1;1;TA;5;2;480;10;2009;WD;Normal;143000
7;75;10084;Pave;AllPub;Norm;2004;GasA;Ex;Y;1694;0;2;0;3;1;Gd;7;2;636;8;2007;WD;Normal;307000
8;NA;10382;Pave;AllPub;PosN;1973;GasA;Ex;Y;1107;983;2;1;3;1;TA;7;2;484;11;2009;WD;Normal;200000
9;51;6120;Pave;AllPub;Artery;1931;GasA;Gd;Y;1022;752;2;0;2;2;TA;8;2;468;4;2008;WD;Abnorml;129900
10;50;7420;Pave;AllPub;Artery;1939;GasA;Ex;Y;1077;0;1;0;2;2;TA;5;1;205;1;2008;WD;Normal;118000
11;70;11200;Pave;AllPub;Norm;1965;GasA;Ex;Y;1040;0;1;0;3;1;TA;5;1;384;2;2008;WD;Normal;129500
12;85;11924;Pave;AllPub;Norm;2005;GasA;Ex;Y;1182;1142;3;0;4;1;Ex;11;3;736;7;2006;New;Partial;345000
13;NA;12968;Pave;AllPub;Norm;1962;GasA;TA;Y;912;0;1;0;2;1;TA;4;1;352;9;2008;WD;Normal;144000
14;91;10652;Pave;AllPub;Norm;2006;GasA;Ex;Y;1494;0;2;0;3;1;Gd;7;3;840;8;2007;New;Partial;279500
15;NA;10920;Pave;AllPub;Norm;1960;GasA;TA;Y;1253;0;1;1;2;1;TA;5;1;352;5;2008;WD;Normal;157000
16;51;6120;Pave;AllPub;Norm;1929;GasA;Ex;Y;854;0;1;0;2;1;TA;5;2;576;7;2007;WD;Normal;132000
17;NA;11241;Pave;AllPub;Norm;1970;GasA;Ex;Y;1004;0;1;0;2;1;TA;5;2;480;3;2010;WD;Normal;149000
18;72;10791;Pave;AllPub;Norm;1967;GasA;TA;Y;1296;0;2;0;2;2;TA;6;2;516;10;2006;WD;Normal;90000
19;66;13695;Pave;AllPub;RRAe;2004;GasA;Ex;Y;1114;0;1;1;3;1;Gd;6;2;576;6;2008;WD;Normal;159000
20;70;7560;Pave;AllPub;Norm;1958;GasA;TA;Y;1339;0;1;0;3;1;TA;6;1;294;5;2009;COD;Abnorml;139000
21;101;14215;Pave;AllPub;Norm;2005;GasA;Ex;Y;1158;1218;3;1;4;1;Gd;9;3;853;11;2006;New;Partial;325300
22;57;7449;Pave;AllPub;Norm;1930;GasA;Ex;Y;1108;0;1;0;3;1;Gd;6;1;280;6;2007;WD;Normal;139400
23;75;9742;Pave;AllPub;Norm;2002;GasA;Ex;Y;1795;0;2;0;3;1;Gd;7;2;534;9;2008;WD;Normal;230000
24;44;4224;Pave;AllPub;Norm;1976;GasA;TA;Y;1060;0;1;0;3;1;TA;6;2;572;6;2007;WD;Normal;129900
25;NA;8246;Pave;AllPub;Norm;1968;GasA;Ex;Y;1060;0;1;0;3;1;Gd;6;1;270;5;2010;WD;Normal;154000
26;110;14230;Pave;AllPub;Norm;2007;GasA;Ex;Y;1600;0;2;0;3;1;Gd;7;3;890;7;2009;WD;Normal;256300
27;60;7200;Pave;AllPub;Norm;1951;GasA;TA;Y;900;0;1;0;3;1;Gd;5;2;576;5;2010;WD;Normal;134800
28;98;11478;Pave;AllPub;Norm;2007;GasA;Ex;Y;1704;0;2;0;3;1;Gd;7;3;772;5;2010;WD;Normal;306000
29;47;16321;Pave;AllPub;Norm;1957;GasA;TA;Y;1600;0;1;0;2;1;TA;6;1;319;12;2006;WD;Normal;207500
30;60;6324;Pave;AllPub;Feedr;1927;GasA;Fa;N;520;0;1;0;1;1;Fa;4;1;240;5;2008;WD;Normal;68500
31;50;8500;Pave;AllPub;Feedr;1920;GasA;TA;N;649;668;1;0;3;1;TA;6;1;250;7;2008;WD;Normal;40000
32;NA;8544;Pave;AllPub;Norm;1966;GasA;Gd;Y;1228;0;1;1;3;1;Gd;6;1;271;6;2008;WD;Normal;149350
33;85;11049;Pave;AllPub;Norm;2007;GasA;Ex;Y;1234;0;2;0;3;1;Gd;7;2;484;1;2008;WD;Normal;179900
34;70;10552;Pave;AllPub;Norm;1959;GasA;Gd;Y;1700;0;1;1;4;1;Gd;6;2;447;4;2010;WD;Normal;165500
35;60;7313;Pave;AllPub;Norm;2005;GasA;Ex;Y;1561;0;2;0;2;1;Ex;6;2;556;8;2007;WD;Normal;277500
36;108;13418;Pave;AllPub;Norm;2004;GasA;Ex;Y;1132;1320;3;1;4;1;Gd;9;3;691;9;2006;WD;Normal;309000
37;112;10859;Pave;AllPub;Norm;1994;GasA;Ex;Y;1097;0;1;1;3;1;TA;6;2;672;6;2009;WD;Normal;145000
38;74;8532;Pave;AllPub;Norm;1954;GasA;Gd;Y;1297;0;1;0;3;1;TA;5;2;498;10;2009;WD;Normal;153000
39;68;7922;Pave;AllPub;Norm;1953;GasA;TA;Y;1057;0;1;0;3;1;Gd;5;1;246;1;2010;WD;Abnorml;109000
40;65;6040;Pave;AllPub;Norm;1955;GasA;TA;N;1152;0;2;0;2;2;Fa;6;0;0;6;2008;WD;AdjLand;82000
41;84;8658;Pave;AllPub;Norm;1965;GasA;Ex;Y;1324;0;2;0;3;1;TA;6;2;440;12;2006;WD;Abnorml;160000
42;115;16905;Pave;AllPub;Norm;1959;GasA;Gd;Y;1328;0;1;1;2;1;TA;5;1;308;7;2007;WD;Normal;170000
43;NA;9180;Pave;AllPub;Norm;1983;GasA;Gd;Y;884;0;1;0;2;1;Gd;5;2;504;12;2007;WD;Normal;144000
44;NA;9200;Pave;AllPub;Norm;1975;GasA;TA;Y;938;0;1;0;3;1;TA;5;1;308;7;2008;WD;Normal;130250
45;70;7945;Pave;AllPub;Norm;1959;GasA;Ex;Y;1150;0;1;0;3;1;TA;6;1;300;5;2006;WD;Normal;141000
46;61;7658;Pave;AllPub;Norm;2005;GasA;Ex;Y;1752;0;2;0;2;1;Ex;6;2;576;2;2010;WD;Normal;319900
47;48;12822;Pave;AllPub;Norm;2003;GasA;Ex;Y;1518;631;1;1;1;1;Gd;6;2;670;8;2009;WD;Abnorml;239686
48;84;11096;Pave;AllPub;Norm;2006;GasA;Ex;Y;1656;0;2;0;3;1;Gd;7;3;826;7;2007;WD;Normal;249700
49;33;4456;Pave;AllPub;Norm;1920;GasA;Gd;Y;736;716;2;0;2;3;TA;8;0;0;6;2009;New;Partial;113000
50;66;7742;Pave;AllPub;Norm;1966;GasA;Ex;Y;955;0;1;0;3;1;TA;6;1;386;1;2007;WD;Normal;127000
51;NA;13869;Pave;AllPub;Norm;1997;GasA;Gd;Y;794;676;2;0;3;1;TA;6;2;388;7;2007;WD;Normal;177000
52;52;6240;Pave;AllPub;Norm;1934;GasA;TA;Y;816;0;1;0;3;1;TA;6;2;528;9;2006;WD;Normal;114500
53;110;8472;Grvl;AllPub;RRNn;1963;GasA;TA;N;816;0;1;0;2;1;TA;5;2;516;5;2010;WD;Normal;110000
54;68;50271;Pave;AllPub;Norm;1981;GasA;Gd;Y;1842;0;0;1;0;1;Gd;5;3;894;11;2006;WD;Normal;385000
55;60;7134;Pave;AllPub;Norm;1955;GasA;TA;Y;1360;0;1;0;3;1;TA;6;2;572;2;2007;WD;Normal;130000
56;100;10175;Pave;AllPub;Norm;1964;GasA;Gd;Y;1425;0;2;0;3;1;TA;7;2;576;7;2008;WD;Normal;180500
57;24;2645;Pave;AllPub;Norm;1999;GasA;Ex;Y;983;756;2;1;3;1;Gd;7;2;480;8;2009;WD;Abnorml;172500
58;89;11645;Pave;AllPub;Norm;2004;GasA;Ex;Y;860;860;2;1;3;1;Gd;7;2;565;8;2006;WD;Normal;196500
59;66;13682;Pave;AllPub;Norm;2006;GasA;Ex;Y;1426;1519;3;1;3;1;Gd;10;3;641;10;2006;New;Partial;438780
60;60;7200;Pave;AllPub;Norm;1972;GasA;Ex;Y;780;0;1;0;2;1;TA;4;1;352;1;2008;WD;Normal;124900
61;63;13072;Pave;AllPub;RRAe;2004;GasA;Ex;Y;1158;0;1;1;3;1;Gd;5;2;576;5;2006;New;Partial;158000
62;60;7200;Pave;AllPub;Norm;1920;GasA;TA;N;581;530;1;0;3;1;Fa;6;1;288;3;2007;WD;Normal;101000
63;44;6442;Pave;AllPub;Norm;2006;GasA;Ex;Y;1370;0;2;0;2;1;Gd;6;2;484;10;2007;WD;Normal;202500
64;50;10300;Pave;AllPub;RRAn;1921;GasA;Gd;Y;902;808;2;0;3;1;TA;9;2;480;4;2010;WD;Normal;140000
65;NA;9375;Pave;AllPub;Norm;1997;GasA;Ex;Y;1057;977;2;1;3;1;Gd;8;2;645;2;2009;WD;Normal;219500
66;76;9591;Pave;AllPub;Norm;2004;GasA;Ex;Y;1143;1330;2;1;4;1;Gd;9;3;852;10;2007;WD;Normal;317000
67;NA;19900;Pave;AllPub;PosA;1970;GasA;TA;Y;2207;0;2;0;3;1;TA;7;2;576;7;2010;WD;Normal;180000
68;72;10665;Pave;AllPub;Norm;2003;GasA;Ex;Y;1479;0;2;0;3;1;Gd;7;2;558;6;2007;WD;Normal;226000
69;47;4608;Pave;AllPub;Artery;1945;GasA;TA;Y;747;0;1;0;2;1;TA;4;1;220;6;2010;WD;Normal;80000
70;81;15593;Pave;AllPub;Norm;1953;GasW;TA;Y;1304;983;2;0;3;1;TA;7;2;667;7;2006;WD;Normal;225000
71;95;13651;Pave;AllPub;Norm;1973;GasA;Ex;Y;2223;0;2;0;3;1;TA;8;2;516;2;2007;WD;Normal;244000
72;69;7599;Pave;AllPub;Norm;1982;GasA;TA;Y;845;0;1;0;2;1;TA;4;2;360;6;2007;WD;Normal;129500
73;74;10141;Pave;AllPub;Norm;1998;GasA;Gd;Y;885;833;2;1;3;1;TA;7;2;427;12;2009;WD;Normal;185000
74;85;10200;Pave;AllPub;Norm;1954;GasA;Gd;Y;1086;0;1;0;3;1;TA;6;2;490;5;2010;WD;Normal;144900
75;60;5790;Pave;AllPub;Norm;1915;GasA;Gd;N;840;765;2;0;3;2;TA;8;1;379;5;2010;WD;Normal;107400
76;21;1596;Pave;AllPub;Norm;1973;GasA;TA;Y;526;462;1;0;2;1;TA;5;1;297;11;2009;WD;Normal;91000
77;NA;8475;Pave;AllPub;Norm;1956;GasA;Ex;Y;952;0;1;0;2;1;TA;4;1;283;4;2008;WD;Normal;135750
78;50;8635;Pave;AllPub;Norm;1948;GasA;TA;Y;1072;213;1;0;2;1;TA;6;1;240;1;2008;WD;Normal;127000
79;72;10778;Pave;AllPub;Norm;1968;GasA;TA;N;1768;0;2;0;4;2;TA;8;0;0;4;2010;WD;Normal;136500
80;60;10440;Pave;AllPub;Norm;1910;GasA;Gd;Y;682;548;1;1;2;1;TA;5;2;440;5;2009;WD;Normal;110000
81;100;13000;Pave;AllPub;Norm;1968;GasA;TA;Y;1182;960;2;1;4;1;Gd;8;1;509;6;2009;WD;Normal;193500
82;32;4500;Pave;AllPub;Norm;1998;GasA;Ex;Y;1337;0;2;0;2;1;TA;5;2;405;3;2006;WD;Normal;153500
83;78;10206;Pave;AllPub;Norm;2007;GasA;Ex;Y;1563;0;2;0;3;1;Gd;6;3;758;10;2008;WD;Normal;245000
84;80;8892;Pave;AllPub;Norm;1960;GasA;Gd;Y;1065;0;1;1;3;1;TA;6;2;461;7;2007;COD;Normal;126500
85;NA;8530;Pave;AllPub;Norm;1995;GasA;Gd;Y;804;670;2;1;3;1;TA;7;2;400;5;2009;WD;Normal;168500
86;121;16059;Pave;AllPub;Norm;1991;GasA;Ex;Y;1301;1116;2;1;4;1;Gd;9;2;462;4;2006;WD;Normal;260000
87;122;11911;Pave;AllPub;Norm;2005;GasA;Ex;Y;684;876;2;1;3;1;Gd;6;2;400;3;2009;WD;Normal;174000
88;40;3951;Pave;AllPub;Norm;2009;GasA;Ex;Y;612;612;2;1;2;1;Gd;4;2;528;6;2009;New;Partial;164500
89;105;8470;Pave;AllPub;Feedr;1915;GasA;TA;N;1013;0;1;0;2;1;Fa;6;0;0;10;2009;ConLD;Abnorml;85000
90;60;8070;Pave;AllPub;Norm;1994;GasA;Ex;Y;990;0;1;0;3;1;TA;5;0;0;8;2007;WD;Normal;123600
91;60;7200;Pave;AllPub;Norm;1950;GasA;TA;Y;1040;0;1;0;2;1;TA;4;2;420;7;2006;WD;Normal;109900
92;85;8500;Pave;AllPub;Norm;1961;GasA;TA;Y;1235;0;1;0;2;1;TA;6;2;480;12;2006;WD;Abnorml;98600
93;80;13360;Pave;AllPub;Norm;1921;GasA;Ex;Y;964;0;1;0;2;1;TA;5;2;432;8;2009;WD;Normal;163500
94;60;7200;Pave;AllPub;Norm;1910;GasW;Ex;N;1260;1031;2;0;4;2;TA;9;2;506;11;2007;WD;Normal;133900
95;69;9337;Pave;AllPub;Norm;1997;GasA;Ex;Y;905;881;2;1;3;1;Gd;7;2;684;5;2007;WD;Normal;204750
96;NA;9765;Pave;AllPub;Norm;1993;GasA;Gd;Y;680;790;2;1;3;1;TA;6;2;420;4;2009;WD;Normal;185000
97;78;10264;Pave;AllPub;Norm;1999;GasA;Ex;Y;1588;0;2;0;3;1;Gd;6;2;472;8;2006;WD;Normal;214000
98;73;10921;Pave;AllPub;Norm;1965;GasA;TA;Y;960;0;1;0;3;1;TA;6;1;432;5;2007;WD;Normal;94750
99;85;10625;Pave;AllPub;Norm;1920;GasA;Fa;N;835;0;1;0;2;1;TA;5;1;366;5;2010;COD;Abnorml;83000
100;77;9320;Pave;AllPub;Norm;1959;GasA;Fa;Y;1225;0;1;1;3;1;TA;6;0;0;1;2010;WD;Normal;128950
101;NA;10603;Pave;AllPub;Norm;1977;GasA;Gd;Y;1610;0;2;0;3;1;Gd;6;2;480;2;2010;WD;Normal;205000
102;77;9206;Pave;AllPub;Norm;1985;GasA;TA;Y;977;755;2;1;3;1;Gd;7;2;476;6;2010;WD;Normal;178000
103;64;7018;Pave;AllPub;Norm;1979;GasA;TA;Y;1535;0;2;0;4;2;TA;8;2;410;6;2009;WD;Alloca;118964
104;94;10402;Pave;AllPub;Norm;2009;GasA;Ex;Y;1226;0;2;0;3;1;Gd;6;3;740;5;2010;WD;Normal;198900
105;NA;7758;Pave;AllPub;Norm;1931;GasA;Ex;Y;1226;592;1;1;4;1;TA;7;1;240;6;2007;WD;Normal;169500
106;75;9375;Pave;AllPub;Norm;2003;GasA;Ex;Y;1053;939;2;1;3;1;Gd;9;2;648;8;2008;WD;Normal;250000
107;60;10800;Pave;AllPub;Norm;1885;GasA;Gd;Y;1047;0;1;0;2;1;TA;6;1;273;8;2007;WD;Normal;100000
108;50;6000;Pave;AllPub;Norm;1948;GasA;Ex;Y;789;0;1;0;2;1;TA;5;1;250;4;2008;WD;Partial;115000
109;85;8500;Pave;AllPub;Artery;1919;GasW;TA;N;997;520;2;0;3;1;Fa;7;0;0;8;2007;WD;Normal;115000
110;105;11751;Pave;AllPub;Norm;1977;GasA;Ex;Y;1844;0;2;0;3;1;TA;7;2;546;1;2010;COD;Normal;190000
111;75;9525;Pave;AllPub;Norm;1954;GasA;Gd;Y;1216;639;2;0;4;1;TA;7;1;325;10;2006;WD;Normal;136900
